Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.9-35.187.176.208-56026-443-6,192.168.0.9,56026,35.187.176.208,443,6,05/05/2025 05:04:38 PM,115,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17391.304347826088,115,0.0,115,115,115,115,0.0,115,115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,108,0,17391.304347826088,0.0,0,0,0,0.0,0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,0,0,54,115,0.0,115,115,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.0.9-35.189.204.147-55978-443-6,192.168.0.9,55978,35.189.204.147,443,6,05/05/2025 05:04:38 PM,38,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,38,0.0,38,38,38,38,0.0,38,38,0.0,0.0,0.0,0.0,0.0,0,0,0,0,108,0,52631.57894736842,0.0,0,0,0,0.0,0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,0,0,54,38,0.0,38,38,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.0.9-34.76.196.233-56087-443-6,192.168.0.9,56087,34.76.196.233,443,6,05/05/2025 05:04:38 PM,136735,3,1,1921,0,1921,0,640.3333333333334,1109.089867113271,0,0,0,0.0,14049.073024463378,29.25366585000183,45578.333333333336,78462.73383163076,136179,78,136735,68367.5,96010.25164272824,136257,478,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,70,21.94024938750137,7.313416462500458,0,1921,480.25,960.5,922560.25,0,2,0,1,3,0,0,0,0.3333333333333333,480.25,640.3333333333334,0.0,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65535,65320,1,54,136735,0.0,136735,136735,0.0,0.0,0.0,0.0,NeedManualLabel
148.251.41.235-192.168.0.9-9001-50568-6,148.251.41.235,9001,192.168.0.9,50568,6,05/05/2025 05:04:38 PM,41632,1,1,536,0,536,536,536,0.0,0,0,0,0.0,12874.711760184473,48.039969254419674,41632,0.0,41632,41632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58,54,24.019984627209837,24.019984627209837,0,536,268,379.00923471598946,143648,0,0,0,1,2,0,0,0,1.0,268.0,536.0,0.0,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4963,255,0,58,41632,0.0,41632,41632,0.0,0.0,0.0,0.0,NeedManualLabel
1.1.1.3-192.168.0.9-53-63581-17,1.1.1.3,53,192.168.0.9,63581,17,05/05/2025 05:04:38 PM,12650,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0.0,158.10276679841897,12650,0.0,12650,12650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,94,79.05138339920948,79.05138339920948,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,130,12650,0.0,12650,12650,0.0,0.0,0.0,0.0,NeedManualLabel
